userName|firstName|lastName|admin
Sparrow|Jack|Sparrow|true
Gene|Gene|Simmons|false
Ali|Ali|Aldi|false
Jane|Jane|Doe|false
John|John|Doe|false
Mark|Mark|Rutte|false
Piet|Piet|Snot|false
Leo|Leo|Messi|false
Nikolas|Nikolas|Wiggins|false
Gael|Gael|Ruiz|false
Anne|Ann|Baron|false
Daisy|Daisy|Garner|false
Keira|Keira|Petersen|false
Denzel|Denzel|Chan|false
Hailey|Hailey|Fraizor|false
April|April|Bright|false
Antony|Antony|Li|false
Suzy|Suzan|Matt|false
Steve|Steve|City|false
Jauylan|Jauylan|Khan|false
